id,x,y,timestamp,time_seconds,inExpectedZoneName,group_name,floor,inZones,x_kalman,y_kalman,x_median,x_lowpass,y_median,y_lowpass,x_norm,y_norm,x_kalman_norm,y_kalman_norm,x_lowpass_norm,y_lowpass_norm,dx,dy,dt,velocity_x,velocity_y,speed,acceleration_x,acceleration_y,acceleration,distance_from_origin,datetime,hour,minute,second,day_of_week,distance,cumulative_distance,direction,direction_degrees
5410,28.028,16.947,1743663891934,117.115,1st Floor Central Hall,Electronics Research Team for Wireless Innovation,1,"[""27""]",27.490367197007025,18.526308579957487,27.951,28.34576416834213,16.947,16.866446327012333,0.3869009098176558,0.0395704911513223,0.3835654979001198,0.0,0.4031361341470386,0.0,,,,,,,,,,33.15033028834081,2025-04-03 07:04:51.934,7,4,51,3,,,,
5410,28.121,17.378,1743663897265,122.446,1st Floor Central Hall,Electronics Research Team for Wireless Innovation,1,"[""27""]",31.03649371678958,19.356750108349672,28.028,32.32276472852664,17.378,17.995772420711855,0.3886710571395942,0.08242195267448803,0.46454222406229734,0.11153412199154704,0.49284937222516184,0.12188584628793309,3.546126519782554,0.8304415283921855,5.331000000000003,0.6651897429717787,0.15577593854664887,0.6831863122054995,,,,36.57796764432674,2025-04-03 07:04:57.265,7,4,57,3,3.64206623036752,3.64206623036752,0.23003730494761152,13.18016670406203
5410,27.951,21.586,1743663904633,129.814,1st Floor Central Hall,Electronics Research Team for Wireless Innovation,1,"[""27""]",34.65809662155831,20.183381519794136,28.121,36.28532088291697,21.586,19.069902792573764,0.3854353039704595,0.5007953867568105,0.5472424732078318,0.2225565185528015,0.5822367731814893,0.23781453165911787,3.6216029047687286,0.8266314114444633,7.367999999999995,0.4915313388665487,0.11219210253046469,0.5041727134208557,-0.02356927308702906,-0.005915287190035859,0.024300231611891165,40.10676440455947,2025-04-03 07:05:04.633,7,5,4,3,3.714744552484862,7.356810782852381,0.22440582167272669,12.857506480012619
5410,33.063,22.355,1743663909927,135.108,1st Floor Central Hall,Electronics Research Team for Wireless Innovation,1,"[""27""]",38.37468965925286,20.921015455722678,33.063,40.15435101133952,22.355,20.040367108712577,0.48273630515055777,0.5772519387552199,0.6321118468725091,0.32162592992273176,0.6695144126461666,0.34255475250828876,3.716593037694551,0.7376339359285424,5.294000000000011,0.7020387302029738,0.13933395087429937,0.7157320228767506,0.03976339088334429,0.005126907507335592,0.04009254837411064,43.70704398769786,2025-04-03 07:05:09.927,7,5,9,3,3.789085329109526,11.145896111961907,0.19592441822721848,11.225642267975637
5410,38.818,22.797,1743663918008,143.189,1st Floor Central Hall,Electronics Research Team for Wireless Innovation,1,"[""27""]",42.08684551292658,21.53199076761399,38.818,43.82852046405231,22.621,20.86955241012314,0.5922760668468537,0.621197057069,0.7168798962800338,0.40368419969910435,0.7523963820757353,0.4320470194060304,3.712155853673721,0.6109753118913126,8.080999999999989,0.4593683768931724,0.07560639919456917,0.4655487442670598,-0.030029743015691345,-0.007886097225557515,0.03104796281625268,47.27503772230713,2025-04-03 07:05:18.008,7,5,18,3,3.762099402422105,14.907995514384012,0.16312525055032182,9.346388388547549
5410,44.782,22.621,1743663923970,149.151,1st Floor Central Hall,Electronics Research Team for Wireless Innovation,1,"[""27""]",45.63554559720004,21.994989566149172,44.782,47.18579663547167,22.797,21.53391293164563,0.7057939015569683,0.6036985484191687,0.7979153904601821,0.46586818582241757,0.8281298681295016,0.5037500862684936,3.548700084273463,0.4629987985351818,5.9620000000000175,0.5952197390596197,0.07765830233733317,0.6002643998173791,0.02278620633452648,0.00034416355967192163,0.022788805314790432,50.65947678341275,2025-04-03 07:05:23.970,7,5,23,3,3.578776351711225,18.48677186609524,0.129737137140074,7.433390404236205
5410,52.65,23.761,1743663930295,155.476,1st Floor Central Hall,Electronics Research Team for Wireless Innovation,1,"[""35""]",48.825358313870574,22.306044289199622,52.65,50.09096292663678,23.761,22.02534882827465,0.8555521717613918,0.7170411612646649,0.8707555977752612,0.5076450168702641,0.8936646527471185,0.5567897534568041,3.189812716670531,0.3110547230504501,6.324999999999989,0.5043182160743931,0.049178612339992205,0.5067103699117924,-0.014371782290154426,-0.004502717786140873,0.015060630586307659,53.67937430996737,2025-04-03 07:05:30.295,7,5,30,3,3.2049430896920814,21.69171495578732,0.09720769814532215,5.56959083990864
5410,54.372,24.571,1743663937394,162.575,"Glass Room, 1st Floor",Electronics Research Team for Wireless Innovation,1,"[""35""]",51.42968773508746,22.4527680382204,54.372,52.40753071156293,23.761,22.35076953529695,0.8883284479805094,0.7975740703917282,0.9302261409726071,0.5273510454861788,0.9459218234636215,0.5919117421333395,2.604329421216889,0.14672374902077578,7.0989999999999895,0.3668586309644869,0.02066822778148697,0.36744037713997224,-0.019363232160854543,-0.004016112770602236,0.019775336191866527,56.11719498608904,2025-04-03 07:05:37.394,7,5,37,3,2.608459237316659,24.300174193103977,0.056278905548698625,3.224543763555822
5410,58.112,24.773,1743663944002,169.183,"Glass Room, 1st Floor",Electronics Research Team for Wireless Innovation,1,"[""35""]",53.31578951690676,22.438980162034266,58.012,54.011542058495785,23.761,22.53002066970002,0.9595150177014733,0.8176575860011931,0.9732957682541915,0.5254992370060251,0.9821051354017829,0.6112579489877461,1.886101781819299,-0.013787876186132308,6.608000000000004,0.2854270250937194,-0.0020865430063759533,0.28543465156768927,-0.012323184907803788,-0.0034435185816983818,0.012795261095203375,57.845321699539994,2025-04-03 07:05:44.002,7,5,44,3,1.886152177559292,26.18632637066327,-0.007310120121818895,-0.4188390307138819
5410,58.335,20.768,1743663967002,192.183,"Glass Room, 1st Floor",Electronics Research Team for Wireless Innovation,1,"[""35""]",54.35298016163968,22.294157212829717,58.112,54.80482394259813,21.457,22.592328826697347,0.9637595645056912,0.4194670908729371,0.9969802877850006,0.5060484991376661,1.0,0.6179827404263131,1.0371906447329167,-0.1448229492045492,23.0,0.04509524542317029,-0.006296649965415182,0.04553272406262252,-0.010449207811763006,-0.00018304812865387951,0.010450810997755758,58.74756078580594,2025-04-03 07:06:07.002,7,6,7,3,1.047252653440318,27.233579024103587,-0.13873305407681963,-7.948818477561984
